TeamName,Season,Rank,GamesPlayed,FG%,3P%,FT%,OREB,DREB,PPG,RPG,APG,TO,SPG,BPG,PF
Golden State Warriors,2017-2018,1,82,50.3,39.1,81.5,8.4,35.1,113.5,43.5,29.3,15.4,8,7.5,19.6
Houston Rockets,2017-2018,2,82,46,36.2,78.1,9,34.5,112.4,43.5,21.5,13.8,8.5,4.8,19.5
New Orleans Pelicans,2017-2018,3,82,48.3,36.2,77.2,8.7,35.6,111.7,44.3,26.8,14.9,8,5.9,19.2
Toronto Raptors,2017-2018,4,82,47.2,35.8,79.4,9.8,34.2,111.7,44,24.3,13.4,7.6,6.1,21.7
Cleveland Cavaliers,2017-2018,5,82,47.6,37.2,77.9,8.5,33.7,110.9,42.1,23.4,13.7,7.1,3.8,18.6
Denver Nuggets,2017-2018,6,82,47,37.1,76.7,11,33.5,110,44.5,25.1,15,7.7,4.9,18.7
Philadelphia 76ers,2017-2018,7,82,47.2,36.9,75.2,10.9,36.5,109.8,47.4,27.1,16.5,8.3,5.1,22.1
Minnesota Timberwolves,2017-2018,8,82,47.6,35.7,80.4,10.3,31.6,109.5,42,22.7,12.5,8.4,4.2,18.2
Los Angeles Clippers,2017-2018,9,82,47.1,35.4,74.3,10.1,33.7,109,43.9,22.3,14.7,7.7,4.5,20
Charlotte Hornets,2017-2018,10,82,45,36.9,74.7,10.1,35.4,108.2,45.5,21.6,12.7,6.8,4.6,17.2
Los Angeles Lakers,2017-2018,11,82,46.1,34.5,71.4,10.7,35.7,108.1,46.4,23.8,15.8,7.7,4.7,21.2
Oklahoma City Thunder,2017-2018,12,82,45.3,35.4,71.6,12.5,32.6,107.9,45.1,21.3,14,9.1,5,20.2
Brooklyn Nets,2017-2018,13,82,44.1,35.6,77.2,9.7,34.8,106.6,44.4,23.7,15.2,6.2,4.8,20.6
Washington Wizards,2017-2018,14,82,46.7,37.5,77.2,10,33.1,106.6,43.1,25.2,14.6,7.9,4.3,21.3
Milwaukee Bucks,2017-2018,15,82,47.8,35.5,78.3,8.4,31.5,106.5,39.8,23.2,13.8,8.8,5.4,21.4
Portland Trail Blazers,2017-2018,16,82,45.2,36.6,80,10.2,35.3,105.6,45.5,19.5,13.5,7,5.2,19.5
Indiana Pacers,2017-2018,17,82,47.2,36.9,77.9,9.6,32.7,105.6,42.3,22.2,13.3,8.8,4.2,18.8
New York Knicks,2017-2018,18,82,46.4,35.2,78.7,10.5,33.6,104.5,44,23.3,14.7,6.7,5.1,20.5
Utah Jazz,2017-2018,19,82,46.2,36.6,77.9,9,34.2,104.1,43.3,22.4,14.7,8.6,5.1,19.6
Boston Celtics,2017-2018,20,82,45,37.7,77.1,9.4,35.1,104,44.5,22.5,14,7.4,4.6,19.7
Phoenix Suns,2017-2018,21,82,44.2,33.4,74.1,10.3,33.9,103.9,44.1,21.3,15.7,6.9,4.5,22
Detroit Pistons,2017-2018,22,82,45,37.3,74.5,10.1,33.6,103.8,43.7,22.8,13.4,7.7,3.9,18.4
Orlando Magic,2017-2018,23,82,45.2,35.1,75.7,8.8,32.8,103.4,41.6,23.4,14.5,7.6,4.9,19.3
Atlanta Hawks,2017-2018,24,82,44.6,36,78.5,9.1,32.8,103.4,41.9,23.7,15.5,7.8,4.2,19.6
Miami Heat,2017-2018,25,82,45.5,36,75.5,9.3,34.2,103.4,43.5,22.7,14.4,7.6,5.3,20.1
Chicago Bulls,2017-2018,26,82,43.5,35.5,75.9,9.6,35,102.9,44.7,23.5,14,7.6,3.5,19.2
San Antonio Spurs,2017-2018,27,82,45.7,35.2,77.2,10.4,33.9,102.7,44.2,22.8,13.2,7.7,5.6,17.2
Dallas Mavericks,2017-2018,28,82,44.4,36,76.3,8.1,33.1,102.3,41.3,22.7,12.3,7.1,3.8,19.2
Memphis Grizzlies,2017-2018,29,82,44.4,35.2,78.6,9.5,31,99.3,40.5,21.5,15,7.5,4.8,23.2
Sacramento Kings,2017-2018,30,82,45,37.5,73.5,9.5,31.4,98.8,40.9,21.6,13.7,7.8,4.2,20
Milwaukee Bucks,2018-2019,1,82,47.6,35.3,77.3,9.3,40.4,118.1,49.7,26,13.9,7.5,5.9,19.6
Golden State Warriors,2018-2019,2,82,49.1,38.5,80.1,9.7,36.5,117.7,46.2,29.4,14.3,7.6,6.4,21.4
New Orleans Pelicans,2018-2019,3,82,47.3,34.4,76.1,11.1,36.2,115.4,47.3,27,14.8,7.4,5.4,21.1
Philadelphia 76ers,2018-2019,4,82,47.1,35.9,77.1,10.9,36.9,115.2,47.8,26.9,14.9,7.4,5.3,21.3
Los Angeles Clippers,2018-2019,5,82,47.1,38.8,79.2,9.7,35.8,115.1,45.5,24,14.5,6.8,4.7,23.3
Portland Trail Blazers,2018-2019,6,82,46.7,35.9,81.4,11.8,36.2,114.7,48,23,13.8,6.7,5,20.4
Oklahoma City Thunder,2018-2019,7,82,45.4,34.8,71.3,12.6,35.5,114.5,48.1,23.4,14,9.3,5.2,22.4
Toronto Raptors,2018-2019,8,82,47.4,36.6,80.4,9.6,35.6,114.4,45.2,25.4,14,8.3,5.3,21
Sacramento Kings,2018-2019,9,82,46.4,37.8,72.6,11,34.4,114.2,45.4,25.4,13.4,8.3,4.4,21.4
Washington Wizards,2018-2019,10,82,46.8,34.1,76.8,9.7,32.7,114,42.4,26.3,14.1,8.3,4.6,20.7
Houston Rockets,2018-2019,11,82,44.9,35.6,79.1,10.2,31.9,113.9,42.1,21.2,13.3,8.5,4.9,22
Atlanta Hawks,2018-2019,12,82,45.1,35.2,75.2,11.6,34.5,113.3,46.1,25.8,17,8.2,5.1,23.6
Minnesota Timberwolves,2018-2019,13,82,45.6,35.1,78.7,11.3,33.5,112.5,44.8,24.6,13.1,8.3,5,20.3
Boston Celtics,2018-2019,14,82,46.5,36.5,80.2,9.8,34.7,112.4,44.5,26.3,12.8,8.6,5.3,20.4
Brooklyn Nets,2018-2019,15,82,44.9,35.3,74.5,11,35.6,112.2,46.6,23.8,15.1,6.6,4.1,21.5
Los Angeles Lakers,2018-2019,16,82,47,33.3,69.9,10.2,36.4,111.8,46.6,25.6,15.7,7.5,5.4,20.7
Utah Jazz,2018-2019,17,82,46.8,35.6,73.6,10,36.4,111.7,46.4,26,15.1,8.1,5.9,21.1
San Antonio Spurs,2018-2019,18,82,47.8,39.2,81.9,9.2,35.5,111.7,44.7,24.5,12.1,6.1,4.7,18.1
Denver Nuggets,2018-2019,19,82,46.6,35.1,75.5,11.9,34.5,110.7,46.4,27.4,13.4,7.7,4.4,20
Charlotte Hornets,2018-2019,20,82,44.8,35.1,79.7,9.9,33.9,110.7,43.8,23.2,12.2,7.2,4.9,18.9
Dallas Mavericks,2018-2019,21,82,44.7,34,74.2,10.1,35.2,108.9,45.3,23.4,14.2,6.5,4.3,20.1
Indiana Pacers,2018-2019,22,82,47.5,37.4,75.2,9.3,33.7,108,43,26,13.7,8.7,4.9,19.4
Phoenix Suns,2018-2019,23,82,45.9,32.9,77.9,9.1,31.3,107.5,40.4,23.9,15.6,9,5.1,23.6
Orlando Magic,2018-2019,24,82,45.4,35.6,78.2,10,35.4,107.3,45.4,25.5,13.2,6.6,5.4,18.6
Detroit Pistons,2018-2019,25,82,44,34.8,74.7,11.4,33.6,107,45,22.5,13.8,6.9,4,22.1
Miami Heat,2018-2019,26,82,45,34.9,69.5,11.2,35.1,105.7,46.3,24.3,14.7,7.6,5.5,20.9
Chicago Bulls,2018-2019,27,82,45.3,35.1,78.3,8.8,34.1,104.9,42.9,21.9,14.1,7.4,4.3,20.3
New York Knicks,2018-2019,28,82,43.3,34,75.9,10.5,34.3,104.6,44.7,20.1,14,6.8,5.1,20.9
Cleveland Cavaliers,2018-2019,29,82,44.4,35.5,79.2,10.7,31.9,104.5,42.7,20.7,13.5,6.5,2.4,20
Memphis Grizzlies,2018-2019,30,82,45,34.2,77.2,8.8,33,103.5,41.8,23.9,14,8.3,5.5,22
Milwaukee Bucks,2019-2020,1,65,47.7,35.6,74.2,9.5,42.2,118.6,51.7,25.9,14.9,7.4,6,19.2
Houston Rockets,2019-2020,2,64,45.4,34.8,78.7,10.4,34.6,118.1,44.9,21.5,14.7,8.5,5.1,21.6
Dallas Mavericks,2019-2020,3,66,46.3,37,77.3,10.6,36.3,116.4,46.9,24.5,12.8,6.2,5,19.1
New Orleans Pelicans,2019-2020,4,64,46.2,37.2,72.9,11.2,35.8,116.2,47,27,16.2,7.6,5.1,21
Los Angeles Clippers,2019-2020,5,64,46.4,36.6,79.2,11,37,116.2,48,23.8,14.8,7.1,5,22
Washington Wizards,2019-2020,6,64,46.1,37.2,78.7,10.1,31.6,115.6,41.7,25.3,14.1,8.1,4.3,22.6
Los Angeles Lakers,2019-2020,7,63,48.5,35.5,73,10.6,35.5,114.3,46.1,25.9,15.1,8.6,6.8,20.6
Portland Trail Blazers,2019-2020,8,66,46.1,37.2,79.8,10.1,35.4,113.6,45.5,20.2,13,6.1,6.2,21.4
Minnesota Timberwolves,2019-2020,9,64,44.1,33.6,75.3,10.5,34.3,113.3,44.8,23.8,15.3,8.7,5.7,21.4
San Antonio Spurs,2019-2020,10,63,47,37.1,80.9,8.8,35.6,113.2,44.4,24.5,12.3,7.2,5.5,19.2
Toronto Raptors,2019-2020,11,64,45.8,37.1,80,9.7,35.5,113,45.2,25.4,14.4,8.8,4.9,21.5
Boston Celtics,2019-2020,12,64,45.9,36.3,80.1,10.7,35.3,113,46,22.8,13.6,8.3,5.6,21.4
Memphis Grizzlies,2019-2020,13,65,47,35.2,76.1,10.4,36.3,112.6,46.7,27,15.3,8,5.6,20.8
Phoenix Suns,2019-2020,14,65,46.4,35.3,82.6,9.8,33.3,112.6,43.1,27.2,15.1,7.8,4,22.1
Miami Heat,2019-2020,15,64,47,38.4,77.8,8.5,36.2,112.4,44.7,25.9,14.9,7.4,4.5,20.4
Atlanta Hawks,2019-2020,16,66,44.9,33.3,79,9.8,33.3,111.5,43.1,23.9,16.2,7.8,5.1,23.1
Utah Jazz,2019-2020,17,64,47.5,38.3,77.2,8.8,36.3,111,45.1,22.2,14.9,5.9,4,20
Brooklyn Nets,2019-2020,18,64,44.4,34,74.4,10.8,37.6,110.8,48.5,24,15.5,6.5,4.6,20.7
Oklahoma City Thunder,2019-2020,19,64,47.3,35.5,79.7,8.1,34.6,110.8,42.7,21.9,13.5,7.6,5,18.8
Denver Nuggets,2019-2020,20,64,47.1,35.8,77.6,10.9,33.5,110.6,44.3,26.6,13.7,8.2,4.7,20
Philadelphia 76ers,2019-2020,21,64,46.4,36.1,75.1,10.3,35.1,109.4,45.4,25.8,14.2,8.2,5.4,20.7
Indiana Pacers,2019-2020,22,65,47.7,36.3,78.7,8.8,34,109.3,42.8,25.9,13.1,7.2,5.1,19.6
Sacramento Kings,2019-2020,23,64,45.9,36.4,76.9,9.6,32.9,109,42.5,23.4,14.4,7.6,4.2,21.9
Detroit Pistons,2019-2020,24,65,45.9,36.8,74.4,9.8,32,107.3,41.9,24.1,15.4,7.4,4.6,19.6
Cleveland Cavaliers,2019-2020,25,65,45.8,35.1,75.8,10.8,33.4,106.9,44.2,23.1,16.5,6.9,3.2,18.3
Chicago Bulls,2019-2020,26,65,44.7,34.8,75.5,10.5,31.4,106.8,41.9,23.2,15.5,10,4.1,21.8
Orlando Magic,2019-2020,27,65,44.2,34.1,77,10.4,34.2,106.4,44.5,24,12.6,8.4,5.7,17.6
Golden State Warriors,2019-2020,28,65,43.8,33.4,80.3,10,32.9,106.3,42.8,25.6,14.9,8.2,4.6,20.1
New York Knicks,2019-2020,29,65,44.6,33.6,69.3,12.1,34.4,105.3,46.5,21.9,14.4,7.5,4.7,22.2
Charlotte Hornets,2019-2020,30,64,43.4,35,74.7,10.9,31.7,102.8,42.7,23.9,14.6,6.6,4.1,19
