MemberID,Position,JerseyNo,Height,Weight,BirthDate,College
0,G/F,7,6 ft 6 in (1.98 m),223 lb (101 kg),1996-10-24,California
1,G,4,5 ft 11 in (1.80 m),200 lb (91 kg),1998-03-12,Purdue
2,C,99,7 ft 5 in (2.26 m),311 lb (141 kg),1995-12-10,UCF
3,G/F,43,6 ft 4 in (1.93 m),205 lb (93 kg),1993-07-23,Radford
4,F,20,6 ft 7 in (2.01 m),225 lb (102 kg),1990-03-23,Butler
5,C,11,6 ft 10 in (2.08 m),250 lb (113 kg),1992-05-20,Kentucky
6,G/F,45,6 ft 4 in (1.93 m),216 lb (98 kg),1999-10-25,Indiana
7,F,37,6 ft 6 in (1.98 m),240 lb (109 kg),1994-12-05,SMU
8,F/C,77,7 ft 0 in (2.13 m),235 lb (107 kg),1993-10-27,NaN
9,G,36,6 ft 3 in (1.91 m),220 lb (100 kg),1994-03-06,Oklahoma State
10,G/F,0,6 ft 8 in (2.03 m),210 lb (95 kg),1998-03-03,Duke
11,F/C,27,6 ft 8 in (2.03 m),245 lb (111 kg),1992-04-04,NaN
12,G,8,6 ft 0 in (1.83 m),184 lb (83 kg),1990-05-08,Connecticut
13,G,9,6 ft 3 in (1.91 m),210 lb (95 kg),1989-07-25,Pittsburgh
14,G,51,5 ft 10 in (1.78 m),175 lb (79 kg),1998-01-10,LSU
15,F,12,6 ft 6 in (1.98 m),236 lb (107 kg),1998-11-30,Tennessee
16,F/C,44,6 ft 8 in (2.03 m),237 lb (108 kg),1997-10-17,Texas A&M
17,C,31,6 ft 11 in (2.11 m),243 lb (110 kg),1998-04-21,Texas
18,F,21,6 ft 8 in (2.03 m),235 lb (107 kg),1987-05-10,DePaul
19,G,4,5 ft 11 in (1.80 m),176 lb (80 kg),1995-11-25,Florida
20,F/C,33,6 ft 11 in (2.11 m),215 lb (98 kg),1999-04-17,Georgia
21,G,26,6 ft 5 in (1.96 m),215 lb (98 kg),1993-04-06,Colorado
22,F,7,6 ft 10 in (2.08 m),240 lb (109 kg),1988-09-29,Texas
23,G/F,12,6 ft 6 in (1.98 m),220 lb (100 kg),1991-09-07,Virginia
24,G,11,6 ft 2 in (1.88 m),195 lb (88 kg),1992-03-23,Duke
25,C,6,6 ft 11 in (2.11 m),265 lb (120 kg),1988-07-21,Texas A&M
26,F,0,6 ft 9 in (2.06 m),228 lb (103 kg),1998-02-05,NaN
27,G,22,6 ft 6 in (1.98 m),205 lb (93 kg),1994-08-25,Michigan
28,G/F,9,6 ft 7 in (2.01 m),210 lb (95 kg),1995-05-09,NaN
29,G,0,6 ft 2 in (1.88 m),185 lb (84 kg),1996-06-19,Memphis
30,G/F,13,6 ft 9 in (2.06 m),217 lb (98 kg),1999-05-08,NaN
31,G/F,1,6 ft 5 in (1.96 m),212 lb (96 kg),1995-11-05,North Carolina
32,F,2,6 ft 7 in (2.01 m),218 lb (99 kg),1994-03-22,Baylor
33,G/F,17,6 ft 5 in (1.96 m),195 lb (88 kg),1986-05-08,LSU
34,G,0,6 ft 1 in (1.85 m),200 lb (91 kg),1993-01-15,Arizona
35,G,9,6 ft 6 in (1.98 m),214 lb (97 kg),2000-07-14,Duke
36,F,17,6 ft 6 in (1.98 m),221 lb (100 kg),1999-01-08,Michigan
37,G/F,25,6 ft 6 in (1.98 m),205 lb (93 kg),1991-03-16,North Carolina
38,G,21,6 ft 5 in (1.96 m),210 lb (95 kg),1994-05-06,Houston
39,G,2,6 ft 4 in (1.93 m),207 lb (94 kg),1987-11-29,North Carolina
40,F,67,6 ft 9 in (2.06 m),232 lb (105 kg),1985-06-24,USC
41,G/F,3,6 ft 7 in (2.01 m),220 lb (100 kg),1993-05-11,St. John's
42,F,20,6 ft 7 in (2.01 m),215 lb (98 kg),1999-08-11,Kentucky
43,G,11,6 ft 4 in (1.93 m),200 lb (91 kg),1998-07-28,NaN
44,G,6,6 ft 3 in (1.91 m),195 lb (88 kg),1994-02-22,Louisiana-Lafayette
45,F,1,6 ft 10 in (2.08 m),250 lb (113 kg),1995-02-10,Arkansas
46,F,30,6 ft 8 in (2.03 m),250 lb (113 kg),1994-11-29,Kentucky
47,C,23,7 ft 0 in (2.13 m),240 lb (109 kg),1998-04-01,Western Kentucky
48,G,5,6 ft 2 in (1.88 m),205 lb (93 kg),1997-11-25,North Carolina State
49,G,14,6 ft 4 in (1.93 m),200 lb (91 kg),1996-01-17,Arizona
50,F,45,6 ft 8 in (2.03 m),235 lb (107 kg),1998-04-17,NaN
51,G,20,6 ft 6 in (1.98 m),214 lb (97 kg),1991-07-20,Colorado
52,F/C,21,7 ft 0 in (2.13 m),280 lb (127 kg),1994-03-16,Kansas
53,F,12,6 ft 8 in (2.03 m),226 lb (103 kg),1992-07-15,Tennessee
54,F/C,42,6 ft 9 in (2.06 m),240 lb (109 kg),1986-06-03,Florida
55,G/F,30,6 ft 7 in (2.01 m),202 lb (92 kg),1997-07-24,NaN
56,G/F,18,6 ft 5 in (1.96 m),205 lb (93 kg),1996-09-26,SMU
57,G,19,6 ft 1 in (1.85 m),180 lb (82 kg),1992-05-19,NaN
58,F/C,9,6 ft 9 in (2.06 m),250 lb (113 kg),1990-03-26,Norfolk State
59,F,14,6 ft 10 in (2.08 m),231 lb (105 kg),1993-02-03,NaN
60,G,0,6 ft 5 in (1.96 m),200 lb (91 kg),1993-09-15,Tennessee
61,F,40,6 ft 6 in (1.98 m),222 lb (101 kg),1994-01-08,Michigan
62,F,1,6 ft 7 in (2.01 m),237 lb (108 kg),1988-07-16,Virginia
63,G,35,6 ft 5 in (1.96 m),196 lb (89 kg),1995-07-26,Iowa State
64,G/F,25,6 ft 10 in (2.08 m),240 lb (109 kg),1996-07-20,LSU
65,G,5,6 ft 3 in (1.91 m),205 lb (93 kg),1999-06-04,Texas Tech
66,G,22,6 ft 5 in (1.96 m),200 lb (91 kg),1997-03-04,Washington
67,F,3,6 ft 7 in (2.01 m),232 lb (105 kg),1997-07-17,Indiana
68,F,25,6 ft 9 in (2.06 m),200 lb (91 kg),1993-01-11,Oregon
69,F,12,6 ft 7 in (2.01 m),210 lb (95 kg),1998-06-20,Syracuse
70,G,0,6 ft 4 in (1.93 m),205 lb (93 kg),1997-05-16,Ole Miss
71,C,33,7 ft 1 in (2.16 m),255 lb (116 kg),1985-01-29,NaN
72,F,20,6 ft 10 in (2.08 m),235 lb (107 kg),1996-12-09,Miami (FL)
73,F,4,6 ft 7 in (2.01 m),217 lb (98 kg),1995-01-03,Arizona
74,F/C,9,7 ft 0 in (2.13 m),235 lb (107 kg),1989-09-18,NaN
75,F,5,6 ft 7 in (2.01 m),245 lb (111 kg),1996-05-29,Arizona
76,G,7,6 ft 0 in (1.83 m),196 lb (89 kg),1986-03-25,Villanova
77,G,22,6 ft 7 in (2.01 m),185 lb (84 kg),1995-10-25,UNLV
78,F,13,6 ft 7 in (2.01 m),210 lb (95 kg),1993-03-06,Holy Cross
79,G/F,24,6 ft 3 in (1.91 m),215 lb (98 kg),1993-05-25,UCLA
80,F,43,6 ft 9 in (2.06 m),230 lb (104 kg),1994-04-02,New Mexico State
81,G,21,6 ft 4 in (1.93 m),190 lb (86 kg),1994-08-04,Iowa State
82,G,23,6 ft 0 in (1.83 m),195 lb (88 kg),1994-02-25,Wichita State
83,F,1,6 ft 6 in (1.98 m),210 lb (95 kg),1994-12-30,Fresno State
84,G,51,6 ft 3 in (1.91 m),195 lb (88 kg),1994-03-26,Villanova
85,F/C,34,6 ft 9 in (2.06 m),270 lb (122 kg),1999-04-16,Duke
86,G,32,6 ft 3 in (1.91 m),205 lb (93 kg),1994-03-18,Providence
87,F/C,6,6 ft 10 in (2.08 m),270 lb (122 kg),1992-07-07,NaN
88,F/C,12,6 ft 10 in (2.08 m),234 lb (106 kg),1998-10-01,Arkansas
89,G,3,6 ft 7 in (2.01 m),190 lb (86 kg),1993-10-06,Tulsa
90,G/F,15,6 ft 7 in (2.01 m),210 lb (95 kg),1996-04-26,Boise State
91,F/C,2,7 ft 2 in (2.18 m),250 lb (113 kg),1995-07-15,Vanderbilt
92,G/F,8,6 ft 6 in (1.98 m),200 lb (91 kg),1995-03-10,UCLA
93,F/C,24,7 ft 0 in (2.13 m),240 lb (109 kg),1997-05-22,Arizona
94,G,20,6 ft 5 in (1.96 m),190 lb (86 kg),1998-07-18,NaN
95,F,22,6 ft 8 in (2.03 m),198 lb (90 kg),1993-06-03,Georgetown
96,G,31,6 ft 7 in (2.01 m),210 lb (95 kg),1991-10-30,NaN
97,G/F,28,6 ft 5 in (1.96 m),215 lb (98 kg),1996-03-28,DePaul
98,G,45,6 ft 4 in (1.93 m),220 lb (100 kg),1993-11-16,Michigan State
99,G,0,6 ft 4 in (1.93 m),195 lb (88 kg),2000-02-16,North Carolina
100,F,21,6 ft 8 in (2.03 m),235 lb (107 kg),1988-06-21,Georgia Tech
101,G,18,6 ft 3 in (1.91 m),200 lb (91 kg),1990-09-08,Saint Mary's
102,C,3,6 ft 10 in (2.08 m),279 lb (127 kg),1993-08-10,Connecticut
103,G,1,6 ft 5 in (1.96 m),214 lb (97 kg),1995-07-13,NaN
104,G,10,6 ft 1 in (1.85 m),192 lb (87 kg),2000-01-26,Vanderbilt
105,F/C,0,6 ft 8 in (2.03 m),251 lb (114 kg),1988-09-07,UCLA
106,G/F,5,6 ft 6 in (1.98 m),200 lb (91 kg),1992-12-21,NaN
107,F,28,6 ft 7 in (2.01 m),215 lb (98 kg),1992-09-17,Green Bay
108,G,31,6 ft 2 in (1.88 m),199 lb (90 kg),1995-02-07,Texas Tech
109,F/C,22,6 ft 7 in (2.01 m),245 lb (111 kg),1993-01-01,Wyoming
110,F,16,6 ft 7 in (2.01 m),230 lb (104 kg),1995-04-08,NaN
111,G/F,15,6 ft 6 in (1.98 m),192 lb (87 kg),1992-05-06,NaN
112,G/F,4,6 ft 4 in (1.93 m),203 lb (92 kg),2000-05-04,USC
113,G,2,6 ft 1 in (1.85 m),190 lb (86 kg),1999-01-04,Alabama
114,F/C,13,6 ft 9 in (2.06 m),254 lb (115 kg),1991-03-13,Texas
115,F/C,32,6 ft 9 in (2.06 m),228 lb (103 kg),1996-11-20,Kansas State
116,G/F,9,6 ft 6 in (1.98 m),196 lb (89 kg),1996-09-22,NaN
117,C,41,6 ft 10 in (2.08 m),266 lb (121 kg),1997-01-04,NaN
118,G,18,6 ft 3 in (1.91 m),180 lb (82 kg),1997-11-05,Tennessee
119,G/F,6,6 ft 4 in (1.93 m),202 lb (92 kg),1996-08-15,Miami (FL)
120,F,45,6 ft 8 in (2.03 m),230 lb (104 kg),2000-12-23,NaN
121,G,9,6 ft 1 in (1.85 m),200 lb (91 kg),1991-12-09,Saint Joseph's
122,F,23,6 ft 9 in (2.06 m),250 lb (113 kg),1989-03-16,Oklahoma
123,F,42,6 ft 9 in (2.06 m),229 lb (104 kg),1997-08-07,Alabama
124,F/C,31,6 ft 9 in (2.06 m),219 lb (99 kg),1990-12-28,North Carolina
125,G,5,6 ft 5 in (1.96 m),206 lb (93 kg),1996-06-24,Duke
126,F,14,6 ft 7 in (2.01 m),205 lb (93 kg),1999-04-06,Oregon
127,G,20,6 ft 2 in (1.88 m),182 lb (83 kg),1991-12-02,Kentucky
128,F/C,7,7 ft 0 in (2.13 m),221 lb (100 kg),1997-02-25,NaN
129,G/F,52,6 ft 5 in (1.96 m),179 lb (81 kg),1991-03-28,Tennessee
130,G/F,19,6 ft 7 in (2.01 m),205 lb (93 kg),1997-06-10,Kansas
131,G,25,6 ft 2 in (1.88 m),200 lb (91 kg),1988-10-04,Memphis
132,G,17,6 ft 6 in (1.98 m),213 lb (97 kg),1991-11-10,New Mexico
133,G,13,6 ft 3 in (1.91 m),210 lb (95 kg),1996-05-08,Creighton
134,F,35,6 ft 10 in (2.08 m),214 lb (97 kg),1995-09-27,UNLV
135,C,88,6 ft 11 in (2.11 m),250 lb (113 kg),1999-07-20,NaN
136,F,10,6 ft 6 in (1.98 m),190 lb (86 kg),1998-10-02,NaN
137,G,7,6 ft 5 in (1.96 m),223 lb (101 kg),1992-12-11,Virginia
138,G,3,6 ft 0 in (1.83 m),185 lb (84 kg),1996-09-30,UCLA
139,G,8,6 ft 6 in (1.98 m),180 lb (82 kg),1989-04-05,Washington
140,F,24,6 ft 7 in (2.01 m),201 lb (91 kg),1996-04-22,Missouri State
141,G,26,6 ft 5 in (1.96 m),180 lb (82 kg),1992-05-30,Connecticut
142,F,22,6 ft 10 in (2.08 m),222 lb (101 kg),1997-04-30,NaN
143,G,9,6 ft 1 in (1.85 m),200 lb (91 kg),1992-03-25,NaN
144,F,20,6 ft 7 in (2.01 m),218 lb (99 kg),1992-01-03,Creighton
145,G,15,6 ft 3 in (1.91 m),218 lb (99 kg),1993-08-03,Iowa State
146,G,4,6 ft 4 in (1.93 m),213 lb (97 kg),1992-05-04,Indiana
147,F,11,6 ft 11 in (2.11 m),231 lb (105 kg),1996-05-03,Gonzaga
148,F,14,6 ft 7 in (2.01 m),223 lb (101 kg),1993-02-20,St. John's
149,G,5,6 ft 4 in (1.93 m),186 lb (84 kg),1995-12-31,Xavier
150,C,33,6 ft 11 in (2.11 m),239 lb (108 kg),1996-03-24,Texas
151,F,1,6 ft 8 in (2.03 m),220 lb (100 kg),1993-09-05,NaN
152,F,34,6 ft 11 in (2.11 m),242 lb (110 kg),1994-12-06,NaN
153,F,43,6 ft 6 in (1.98 m),219 lb (99 kg),1992-07-18,NaN
154,G,6,6 ft 1 in (1.85 m),214 lb (97 kg),1989-12-09,Kentucky
155,G/F,23,6 ft 5 in (1.96 m),219 lb (99 kg),1995-02-10,SMU
156,G,24,6 ft 5 in (1.96 m),209 lb (95 kg),1993-01-06,Notre Dame
157,G,0,6 ft 4 in (1.93 m),203 lb (92 kg),1997-01-31,Villanova
158,G,3,6 ft 3 in (1.91 m),188 lb (85 kg),1986-05-04,IUPUI
159,F,7,6 ft 9 in (2.06 m),235 lb (107 kg),1987-05-15,NaN
160,G/F,26,6 ft 7 in (2.01 m),212 lb (96 kg),1981-03-17,Creighton
161,C,11,7 ft 0 in (2.13 m),270 lb (122 kg),1988-04-01,Stanford
162,C,42,7 ft 0 in (2.13 m),281 lb (127 kg),1988-04-01,Stanford
163,G,15,5 ft 11 in (1.80 m),190 lb (86 kg),1994-04-03,Kansas
164,G,9,6 ft 4 in (1.93 m),220 lb (100 kg),1986-10-14,Marquette
165,F,22,6 ft 7 in (2.01 m),222 lb (101 kg),1991-08-12,Texas A&M
166,G/F,13,6 ft 7 in (2.01 m),225 lb (102 kg),1995-02-07,Tulane
167,F,2,6 ft 8 in (2.03 m),237 lb (108 kg),1986-06-19,North Carolina
168,F,5,6 ft 10 in (2.08 m),231 lb (105 kg),1996-02-19,NaN
169,G/F,95,6 ft 5 in (1.96 m),210 lb (95 kg),1994-07-04,Saint Joseph's
170,F,4,6 ft 6 in (1.98 m),199 lb (90 kg),1998-02-02,Saint Joseph's
171,C,17,6 ft 10 in (2.08 m),240 lb (109 kg),1994-05-18,NaN
172,G/F,15,6 ft 6 in (1.98 m),220 lb (100 kg),1977-01-26,North Carolina
173,F,20,6 ft 9 in (2.06 m),235 lb (107 kg),1997-09-23,Wake Forest
174,C,14,7 ft 0 in (2.13 m),245 lb (111 kg),1989-08-12,USC
175,F/C,24,6 ft 9 in (2.06 m),233 lb (106 kg),1998-08-15,Maryland
176,G,0,6 ft 0 in (1.83 m),180 lb (82 kg),1995-10-02,Florida Gulf Coast
177,G/F,2,6 ft 5 in (1.96 m),219 lb (99 kg),1993-10-28,Virginia Commonwealth
178,G/F,3,6 ft 7 in (2.01 m),190 lb (86 kg),1998-08-27,Maryland
179,G/F,12,6 ft 7 in (2.01 m),225 lb (102 kg),1997-12-02,Virginia
180,C,30,6 ft 11 in (2.11 m),245 lb (111 kg),1995-06-30,Vanderbilt
181,F,7,6 ft 11 in (2.11 m),235 lb (107 kg),1996-03-18,Kentucky
182,G/F,22,6 ft 8 in (2.03 m),218 lb (99 kg),1999-09-01,Duke
183,G,0,6 ft 3 in (1.91 m),181 lb (82 kg),1988-06-10,Wake Forest
184,G,11,6 ft 1 in (1.85 m),180 lb (82 kg),1998-09-19,Oklahoma
185,G/F,7,6 ft 6 in (1.98 m),221 lb (100 kg),1995-08-30,Florida State
186,G/F,5,6 ft 9 in (2.06 m),230 lb (104 kg),1988-12-14,NaN
187,C,8,6 ft 8 in (2.03 m),255 lb (116 kg),1992-08-28,NaN
188,G,31,6 ft 3 in (1.91 m),190 lb (86 kg),1995-11-01,Charleston
189,F,0,6 ft 6 in (1.98 m),225 lb (102 kg),1998-03-21,Michigan State
190,G,4,6 ft 1 in (1.85 m),195 lb (88 kg),1995-02-22,Kansas
191,F/C,9,6 ft 11 in (2.11 m),250 lb (113 kg),1994-05-27,NaN
192,F,10,6 ft 5 in (1.96 m),205 lb (93 kg),1995-09-28,Nevada
193,F,11,6 ft 5 in (1.96 m),205 lb (93 kg),1995-09-28,Nevada
194,F/C,6,6 ft 10 in (2.08 m),205 lb (93 kg),1998-01-31,San Diego State
195,G,1,6 ft 3 in (1.91 m),200 lb (91 kg),1998-02-04,Kentucky
196,G,3,6 ft 1 in (1.85 m),190 lb (86 kg),1994-03-17,Louisville
197,G,23,6 ft 5 in (1.96 m),180 lb (82 kg),1997-07-04,Arizona
198,F,26,6 ft 9 in (2.06 m),225 lb (102 kg),1997-03-11,Louisville
199,F,25,6 ft 7 in (2.01 m),230 lb (104 kg),1998-08-23,NaN
200,F/C,40,7 ft 0 in (2.13 m),240 lb (109 kg),1992-10-05,Indiana
201,F/C,13,6 ft 9 in (2.06 m),255 lb (116 kg),1997-07-18,Kentucky
202,F/C,17,6 ft 10 in (2.08 m),216 lb (98 kg),1996-10-21,NaN
203,F,22,6 ft 7 in (2.01 m),230 lb (104 kg),1989-09-14,Marquette
204,F,99,6 ft 6 in (1.98 m),235 lb (107 kg),1990-07-06,Marquette
205,G,7,6 ft 3 in (1.91 m),190 lb (86 kg),1986-05-06,NaN
206,F,40,6 ft 8 in (2.03 m),235 lb (107 kg),1980-06-09,Florida
207,G,14,6 ft 5 in (1.96 m),195 lb (88 kg),2000-01-20,Kentucky
208,F,44,6 ft 7 in (2.01 m),225 lb (102 kg),1991-03-18,Arizona
209,G/F,28,6 ft 6 in (1.98 m),215 lb (98 kg),1984-01-28,Arizona
210,F,5,6 ft 6 in (1.98 m),210 lb (95 kg),1997-02-15,UNLV
211,F/C,0,7 ft 0 in (2.13 m),260 lb (118 kg),1992-02-27,Illinois
212,G,25,6 ft 2 in (1.88 m),190 lb (86 kg),1995-08-03,Oakland
213,G/F,4,6 ft 8 in (2.03 m),215 lb (98 kg),1999-04-28,Stanford
214,F/C,9,6 ft 11 in (2.11 m),240 lb (109 kg),1991-04-19,Gonzaga
215,F,55,6 ft 7 in (2.01 m),215 lb (98 kg),1994-04-22,Michigan
216,F,30,6 ft 8 in (2.03 m),234 lb (106 kg),1996-09-19,South Carolina
217,G,2,6 ft 3 in (1.91 m),200 lb (91 kg),1996-06-14,UC Santa Barbara
218,F,2,6 ft 8 in (2.03 m),220 lb (100 kg),1990-09-21,Wake Forest
219,G,14,5 ft 11 in (1.80 m),183 lb (83 kg),1987-11-10,NaN
220,C,5,7 ft 0 in (2.13 m),231 lb (105 kg),1998-05-12,Texas
221,C,24,6 ft 9 in (2.06 m),220 lb (100 kg),1992-09-28,UNLV
222,G,7,6 ft 5 in (1.96 m),190 lb (86 kg),1991-10-10,Syracuse
223,F,12,6 ft 6 in (1.98 m),225 lb (102 kg),1994-11-16,Cincinnati
224,F,11,6 ft 6 in (1.98 m),215 lb (98 kg),1990-07-01,Long Beach State
225,G/F,10,6 ft 7 in (2.01 m),205 lb (93 kg),1992-10-29,NaN
226,G/F,35,6 ft 5 in (1.96 m),215 lb (98 kg),1996-08-30,Tulane
227,G,20,6 ft 3 in (1.91 m),209 lb (95 kg),1998-05-29,Washington
228,F,0,6 ft 8 in (2.03 m),235 lb (107 kg),1995-09-16,Arizona
229,F,1,6 ft 11 in (2.11 m),230 lb (104 kg),1997-10-03,Florida State
230,F,25,6 ft 6 in (1.98 m),195 lb (88 kg),1994-12-20,Kansas State
231,G,13,6 ft 7 in (2.01 m),200 lb (91 kg),1995-12-21,NaN
232,F,23,6 ft 7 in (2.01 m),200 lb (91 kg),1995-12-19,Northwestern
233,G/F,31,6 ft 6 in (1.98 m),206 lb (93 kg),1991-02-05,Washington
234,C,9,6 ft 11 in (2.11 m),260 lb (118 kg),1990-10-24,USC
235,G,3,6 ft 5 in (1.96 m),207 lb (94 kg),1993-06-28,Florida
236,F,42,6 ft 10 in (2.08 m),225 lb (102 kg),1992-11-12,NaN
237,G,17,6 ft 8 in (2.03 m),180 lb (82 kg),1999-11-08,NaN
238,F,6,6 ft 7 in (2.01 m),215 lb (98 kg),1999-07-28,Oregon
239,C,13,6 ft 11 in (2.11 m),248 lb (112 kg),1997-07-31,Indiana
240,F,8,6 ft 8 in (2.03 m),230 lb (104 kg),1998-02-08,Gonzaga
241,C,28,6 ft 11 in (2.11 m),262 lb (119 kg),1986-11-05,NaN
242,G,24,6 ft 5 in (1.96 m),204 lb (93 kg),1996-10-24,Lipscomb
243,G,5,6 ft 0 in (1.83 m),175 lb (79 kg),1991-07-14,Connecticut
244,C,18,7 ft 2 in (2.18 m),229 lb (104 kg),1995-12-20,NaN
245,G,20,6 ft 3 in (1.91 m),190 lb (86 kg),1992-12-01,Oregon State
246,G,12,6 ft 4 in (1.93 m),190 lb (86 kg),1997-02-22,Boston College
247,F,1,6 ft 6 in (1.98 m),241 lb (109 kg),1997-03-30,Tennessee
248,G,14,6 ft 0 in (1.83 m),175 lb (79 kg),1988-07-05,Wake Forest
